"filename", "language", "source.markdown.math", "HTML", "PostCSS", "GLSL", "JavaScript", "JSON", "comment", "blank", "total"
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\README.md", "source.markdown.math", 247, 0, 0, 0, 0, 0, 0, 62, 309
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\assets\presets\fire-dance.json", "JSON", 0, 0, 0, 0, 0, 81, 0, 0, 81
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\assets\presets\ocean-depths.json", "JSON", 0, 0, 0, 0, 0, 81, 0, 0, 81
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\claude.md", "source.markdown.math", 254, 0, 0, 0, 0, 0, 0, 60, 314
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\css\main.css", "PostCSS", 0, 0, 64, 0, 0, 0, 4, 13, 81
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\css\menu.css", "PostCSS", 0, 0, 85, 0, 0, 0, 7, 17, 109
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\css\ui.css", "PostCSS", 0, 0, 56, 0, 0, 0, 3, 7, 66
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\docs\development.md", "source.markdown.math", 271, 0, 0, 0, 0, 0, 0, 75, 346
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\docs\file-structure.md", "source.markdown.math", 127, 0, 0, 0, 0, 0, 0, 20, 147
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\index.html", "HTML", 0, 154, 0, 0, 0, 0, 74, 35, 263
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\js\main.js", "JavaScript", 0, 0, 0, 0, 308, 0, 138, 86, 532
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\js\modules\audio.js", "JavaScript", 0, 0, 0, 0, 236, 0, 29, 57, 322
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\js\modules\controls.js", "JavaScript", 0, 0, 0, 0, 319, 0, 76, 90, 485
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\js\modules\debug-ui.js", "JavaScript", 0, 0, 0, 0, 234, 0, 65, 63, 362
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\js\modules\fileIO.js", "JavaScript", 0, 0, 0, 0, 210, 0, 17, 43, 270
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\js\modules\mobile.js", "JavaScript", 0, 0, 0, 0, 290, 0, 65, 69, 424
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\js\modules\parameters.js", "JavaScript", 0, 0, 0, 0, 351, 0, 72, 41, 464
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\js\modules\renderer.js", "JavaScript", 0, 0, 0, 0, 430, 0, 122, 86, 638
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\js\modules\ui.js", "JavaScript", 0, 0, 0, 0, 189, 0, 22, 36, 247
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\shaders\fragment.glsl", "GLSL", 0, 0, 0, 266, 0, 0, 110, 98, 474
"\\wsl.localhost\archlinux\home\agoramachina\workspace\kaldao-web\shaders\vertex.glsl", "GLSL", 0, 0, 0, 4, 0, 0, 8, 2, 14
"Total", "-", 899, 154, 205, 270, 2567, 162, 812, 960, 6029
